20101128234734[160, 398][-24, 272] 21
20101206131034[-252, -274][-596, -655] 11
20101211051154[173, 456][27, 341] 21
20101216044354[56, 563][-27, 491] 21
20101221005934[-241, 615][-654, 354] 21
20101224200554[725, -399][573, -523] 11
20110706013914[796, 420][673, 337] 21
20110707092814[-555, -271][-673, -398] 11
20110708220014[-307, -319][-425, -431] 11
20110725024114[749, -231][656, -370] 11
20110727150014[247, 330][88, 232] 21
20110728000034[-103, 487][-191, 438] 21
20110831030034[-52, 390][-157, 304] 22
20110908031434[532, 405][416, 222] 21
20111017080034[-87, 324][-262, 139] 21
20111018102014[152, 361][-86, 156] 21
20111027080034[-132, 495][-298, 372] 21
20111031130014[-291, 554][-562, 278] 21
20111102072354[-219, -317][-376, -488] 11
20111114181034[488, -406][373, -506] 11
20111204000034[-340, 665][-695, 315] 21
20111211050034[-351, 538][-567, 330] 21
20111211082954[292, 665][188, 452] 21
20111217000034[-202, 533][-279, 320] 21
20111227053434[-561, 577][-620, 510] 21
20111227205014[-613, 475][-689, 382] 21
20120711080414[-130, 351][-492, 65] 21
20120725072034[-753, 412][-806, 324] 21
20120822091534[756, -163][586, -415] 11
20120823043034[835, -203][700, -396] 11
20120831170014[-358, -208][-641, -446] 11
20120916210014[796, 366][690, 219] 21
20121112030314[291, -312][158, -470] 11
20121121164034[459, 211][370, 127] 21
20121214023034[-453, 598][-646, 487] 21
20130702000034[-9, 250][-124, 189] 21
20130802121814[459, -326][293, -440] 11
20130807112814[-490, 365][-600, 232] 21
20130814183014[722, -462][556, -573] 11
20130820034414[363, -499][-196, -765] 11
20130829000014[382, -536][163, -721] 11
20130911023014[-606, 530][-715, 337] 21
20130919021034[-520, -162][-595, -274] 21
20130920030534[253, -296][-85, -600] 11
20130924030414[-319, -634][-500, -739] 11
20131002231034[-550, -220][-705, -394] 11
20131030150014[364, -255][216, -441] 22
20131123232514[-108, 528][-230, 450] 21
20131211053034[-357, -385][-508, -699] 11
20140705215014[140, -135][46, -200] 21
20140718000014[0, 368][-233, 240] 21
20140718062034[-287, -341][-380, -403] 22
20140728025014[-645, 211][-803, 81] 21
20140729094014[219, 216][138, 70] 21
20140730031734[-290, 342][-572, 50] 21
20140803165614[-377, 146][-487, 72] 21
20140919080954[-463, 405][-569, 168] 11
20140920042534[111, 199][-56, 0] 21
20141109061234[546, 373][218, 145] 21
20141211232014[-12, 447][-326, 137] 21
20141212025014[474, -158][328, -304] 11
20141229083054[379, -381][273, -478] 12
20150702202014[679, -377][587, -443] 11
20150707162014[-205, -328][-370, -424] 11
20150719040014[725, -441][538, -546] 11
20150814070034[710, -40][566, -275] 21
20150814164014[366, -600][90, -745] 11
20150823034034[-734, 66][-792, -51] 12
20150920053734[-193, -147][-307, -304] 21
20151014184014[623, -542][478, -636] 11
20151020160254[-154, 227][-271, 135] 21
20151029065654[-515, -421][-621, -497] 11
20151029122414[317, -253][-19, -506] 11
20151115210014[397, 19][209, -372] 11
20151220144814[846, -107][772, -209] 12
