year,month,day,hour,minute,second
2010,7,3,3,55,45
2010,7,3,7,33,4
2010,7,6,0,22,40
2010,7,6,8,18,59
2010,7,8,5,55,17
2010,7,17,18,17,42
2010,7,19,1,40,23
2010,7,20,7,4,7
2010,7,21,0,0,29
2010,7,30,6,52,8
2010,8,1,0,0,31
2010,8,1,0,0,31
2010,8,1,10,17,50
2010,8,1,15,39,39
2010,8,23,11,46,40
2010,8,26,12,0,0
2010,9,4,12,46,18
2010,9,7,0,0,0
2010,9,7,12,44,36
2010,9,10,23,0,0
2010,9,12,0,0,0
2010,9,16,7,52,24
2010,9,18,0,0,30
2010,9,22,0,0,1
2010,9,22,0,0,1
2010,9,28,0,0,0
2010,9,28,12,27,56
2010,10,6,0,0,5
2010,10,10,0,0,12
2010,10,21,20,6,23
2010,10,21,20,6,23
2010,11,1,7,30,12
2010,11,3,0,0,4
2010,11,12,23,50,54
2010,11,18,13,22,54
2010,11,28,12,40,23
2010,11,28,23,48,13
2010,12,6,0,0,1
2010,12,6,13,10,53
2010,12,6,21,0,33
2010,12,11,5,12,20
2010,12,11,5,12,20
2010,12,12,0,0,9
2010,12,14,12,35,52
2010,12,16,4,43,35
2010,12,21,0,59,58
2010,12,24,20,5,58
2010,12,24,20,5,58
2010,12,24,20,5,58
2011,7,6,1,39,4
2011,7,7,9,28,4
2011,7,8,22,0,4
2011,7,14,4,10,9
2011,7,17,1,30,4
2011,7,17,4,21,4
2011,7,22,13,45,6
2011,7,23,20,0,4
2011,7,25,2,40,4
2011,7,27,0,10,0
2011,7,27,15,0,0
2011,7,28,0,0,4
2011,8,4,3,30,0
2011,8,7,0,0,4
2011,8,10,15,16,4
2011,8,12,1,32,4
2011,8,31,3,0,4
2011,8,31,3,20,4
2011,9,8,3,14,4
2011,9,8,15,8,4
2011,9,9,14,16,4
2011,9,9,21,0,4
2011,9,30,2,24,4
2011,10,1,8,44,4
2011,10,3,0,20,4
2011,10,17,8,0,4
2011,10,18,10,20,4
2011,10,27,8,0,4
2011,10,31,13,0,4
2011,11,2,7,24,4
2011,11,5,3,15,4
2011,11,9,12,51,34
2011,11,14,0,0,4
2011,11,14,18,10,4
2011,11,17,11,58,4
2011,11,17,15,14,4
2011,11,22,14,40,4
2011,11,25,21,0,36
2011,11,26,5,30,0
2011,11,30,18,48,4
2011,12,4,0,0,4
2011,12,4,19,20,4
2011,12,8,18,0,4
2011,12,11,5,0,4
2011,12,11,8,30,0
2011,12,12,23,30,0
2011,12,17,0,0,4
2011,12,24,7,20,4
2011,12,24,22,15,4
2011,12,25,5,55,4
2011,12,25,8,32,34
2011,12,27,2,0,4
2011,12,27,5,40,4
2011,12,27,20,50,4
2011,12,28,11,0,4
2011,12,31,20,20,24
2012,7,2,4,3,4
2012,7,2,10,6,4
2012,7,11,7,30,4
2012,7,11,7,30,4
2012,7,17,1,0,12
2012,7,20,0,0,4
2012,7,20,15,30,4
2012,7,25,7,20,4
2012,8,9,19,40,4
2012,8,15,10,0,4
2012,8,16,17,25,3
2012,8,17,20,15,3
2012,8,22,9,15,35
2012,8,23,4,30,35
2012,8,23,15,0,3
2012,8,31,17,0,3
2012,9,9,17,26,3
2012,9,16,21,0,3
2012,9,21,11,50,23
2012,9,26,8,8,3
2012,9,27,21,28,3
2012,10,2,7,0,3
2012,10,6,12,0,3
2012,10,15,13,5,3
2012,10,30,4,0,3
2012,11,8,14,10,3
2012,11,12,3,3,3
2012,11,16,5,0,3
2012,11,20,7,33,3
2012,11,21,16,40,3
2012,11,23,9,32,3
2012,11,25,0,20,3
2012,11,27,0,0,3
2012,11,29,9,59,27
2012,12,5,22,30,3
2012,12,9,16,14,3
2012,12,10,10,0,3
2012,12,11,14,0,3
2012,12,11,14,0,3
2012,12,13,22,0,3
2012,12,14,2,30,3
2012,12,17,2,10,3
2012,12,20,0,54,3
2012,12,26,16,50,23
2013,7,2,0,0,35
2013,7,3,5,33,3
2013,7,13,5,40,3
2013,7,18,16,30,3
2013,7,26,21,20,23
2013,8,2,12,18,3
2013,8,4,6,15,35
2013,8,4,14,30,35
2013,8,6,1,16,3
2013,8,7,11,28,3
2013,8,10,6,48,3
2013,8,12,19,40,11
2013,8,14,18,30,35
2013,8,16,18,0,3
2013,8,17,10,0,3
2013,8,17,16,0,3
2013,8,18,13,40,3
2013,8,20,3,44,3
2013,8,21,0,16,3
2013,8,29,0,0,3
2013,8,31,17,20,3
2013,9,1,19,45,3
2013,9,10,10,44,3
2013,9,11,2,30,35
2013,9,19,2,10,3
2013,9,20,3,5,23
2013,9,20,18,40,11
2013,9,21,1,0,3
2013,9,21,7,15,35
2013,9,23,7,0,3
2013,9,24,3,4,3
2013,9,24,18,36,3
2013,9,29,20,30,3
2013,10,2,23,10,3
2013,10,18,0,0,3
2013,10,19,11,38,3
2013,10,25,1,32,3
2013,10,26,9,16,3
2013,10,28,10,28,3
2013,10,28,13,14,3
2013,10,30,15,0,3
2013,11,2,19,10,11
2013,11,4,18,20,23
2013,11,17,1,0,3
2013,11,23,23,25,11
2013,12,4,20,0,3
2013,12,5,20,0,3
2013,12,9,10,32,3
2013,12,11,5,30,3
2013,12,13,6,20,3
2013,12,20,6,30,35
2014,7,2,16,45,35
2014,7,5,21,50,23
2014,7,8,16,0,3
2014,7,9,17,6,3
2014,7,18,0,0,3
2014,7,18,6,20,3
2014,7,28,2,50,35
2014,7,29,9,40,35
2014,7,30,2,50,3
2014,7,30,16,40,3
2014,8,3,16,56,3
2014,8,15,15,20,23
2014,9,2,11,10,3
2014,9,12,23,15,35
2014,9,19,8,10,11
2014,9,19,17,30,35
2014,9,20,4,25,11
2014,9,20,23,20,23
2014,9,21,11,0,3
2014,9,25,19,4,3
2014,10,5,14,20,23
2014,10,6,15,40,11
2014,10,10,15,40,7
2014,10,14,17,20,3
2014,10,18,6,12,3
2014,11,8,14,56,3
2014,11,9,6,12,3
2014,11,18,0,44,3
2014,11,27,15,28,3
2014,11,27,15,28,3
2014,11,28,3,44,3
2014,12,11,23,20,3
2014,12,12,2,50,3
2014,12,18,7,40,3
2014,12,20,0,10,3
2014,12,24,2,21,35
2014,12,28,0,45,35
2014,12,28,10,45,35
2014,12,29,8,30,35
2014,12,29,15,20,23
